No. of Pixels,Height,Width,Optimization Success,Result,Execution Time,Layers,Min-Cut Cost,Optimization Cost,Iterations,Optimizer Method,Seed,Exact Min-Cut Value,Relative Error
4,2,2,True,0000,1.292103,1,0.0,-0.0049,37,COBYLA,111,-1.13,1.0
4,2,2,True,1011,2.763737,2,-1.13,-3.3977,78,COBYLA,111,-1.13,0.0
4,2,2,True,1011,3.813881,3,-1.13,-3.682,107,COBYLA,111,-1.13,0.0
4,2,2,True,1011,4.5433,4,-1.13,-3.8605,125,COBYLA,111,-1.13,0.0
4,2,2,True,1110,6.885014,5,-0.6,-2.2995,184,COBYLA,111,-1.13,0.4690265486725663
4,2,2,True,0000,2.063906,1,0.0,-0.0068,60,Powell,111,-1.13,1.0
4,2,2,True,1011,10.247895,2,-1.13,-3.866,293,Powell,111,-1.13,0.0
4,2,2,True,1011,35.274796,3,-1.13,-3.8895,987,Powell,111,-1.13,0.0
4,2,2,True,1011,32.740998,4,-1.13,-3.8878,873,Powell,111,-1.13,0.0
4,2,2,True,1011,38.520907,5,-1.13,-3.8892,997,Powell,111,-1.13,0.0
4,2,2,False,0000,2.297111,1,0.0,-0.0072,64,CG,111,-1.13,1.0
4,2,2,False,0111,9.745514,2,0.85,1.6152,265,CG,111,-1.13,1.752212389380531
4,2,2,False,1011,10.415661,3,-1.13,-0.9536,283,CG,111,-1.13,0.0
4,2,2,False,1100,12.256526,4,0.02,-0.7614,323,CG,111,-1.13,1.0176991150442478
4,2,2,False,1000,15.141392,5,0.85,-0.0186,406,CG,111,-1.13,1.752212389380531
4,2,2,False,0000,2.788418,1,0.0,-0.0059,76,BFGS,111,-1.13,1.0
4,2,2,False,0111,5.473654,2,0.85,1.6004,145,BFGS,111,-1.13,1.752212389380531
4,2,2,False,1011,8.304596,3,-1.13,-0.9576,221,BFGS,111,-1.13,0.0
4,2,2,False,1100,12.127536,4,0.02,-0.7665,324,BFGS,111,-1.13,1.0176991150442478
4,2,2,False,1000,14.429344,5,0.85,-0.033,380,BFGS,111,-1.13,1.752212389380531
