No. of Pixels,Height,Width,Optimization Success,Result,Execution Time,Layers,Min-Cut Cost,Optimization Cost,Iterations,Optimizer Method
4,2,2,True,0000,1.739829,1,0.0,0.0,19,COBYLA
4,2,2,True,1101,4.555462,2,-0.62,-0.62,44,COBYLA
4,2,2,True,1101,4.466321,3,-0.62,-0.62,62,COBYLA
4,2,2,True,1101,7.886224,4,-0.62,-0.62,75,COBYLA
4,2,2,True,1101,9.66696,5,-0.62,-0.62,96,COBYLA
4,2,2,True,1111,1.578025,1,0.0,0.0,10,Powell
4,2,2,True,0010,32.307988,2,-0.62,-0.62,280,Powell
4,2,2,True,1101,42.825655,3,-0.62,-0.62,445,Powell
4,2,2,True,0010,44.072281,4,-0.62,-0.62,433,Powell
4,2,2,True,0010,51.492955,5,-0.62,-0.62,498,Powell
4,2,2,True,0000,0.73305,1,0.0,0.0,4,CG
4,2,2,True,0111,1.306333,2,-0.51,-0.51,7,CG
4,2,2,True,1101,0.644561,3,-0.62,-0.62,10,CG
4,2,2,True,0010,0.816506,4,-0.62,-0.62,13,CG
4,2,2,True,1000,3.106215,5,-0.51,-0.51,16,CG
4,2,2,True,0000,0.760689,1,0.0,0.0,4,BFGS
4,2,2,True,1101,0.465474,2,-0.62,-0.62,7,BFGS
4,2,2,True,1101,0.664037,3,-0.62,-0.62,10,BFGS
4,2,2,True,0111,0.84937,4,-0.51,-0.51,13,BFGS
4,2,2,True,1000,2.671845,5,-0.51,-0.51,16,BFGS
4,2,2,True,0000,0.418014,1,0.0,0.0,4,L-BFGS-B
4,2,2,True,0111,0.669773,2,-0.51,-0.51,7,L-BFGS-B
4,2,2,True,1101,0.642725,3,-0.62,-0.62,10,L-BFGS-B
4,2,2,True,1100,1.34124,4,0.07,0.07,13,L-BFGS-B
4,2,2,True,1000,1.666069,5,-0.51,-0.51,16,L-BFGS-B
4,2,2,True,0000,0.403238,1,0.0,0.0,4,SLSQP
4,2,2,True,0111,0.719574,2,-0.51,-0.51,7,SLSQP
4,2,2,True,1101,0.651081,3,-0.62,-0.62,10,SLSQP
4,2,2,True,1100,1.348135,4,0.07,0.07,13,SLSQP
4,2,2,True,1000,1.576253,5,-0.51,-0.51,16,SLSQP
16,4,4,True,0000000010010000,4.780386,1,-1.77,100000.0,57,COBYLA
16,4,4,True,1111001000101011,6.837411,2,-2.62,-2.62,79,COBYLA
16,4,4,True,1111001111110110,22.655366,3,-2.26,-2.26,112,COBYLA
16,4,4,True,1111001100111000,11.57798,4,-1.93,-1.93,136,COBYLA
16,4,4,True,0000110001001001,16.308702,5,-3.11,-3.11,188,COBYLA
16,4,4,True,1111111111110111,8.112677,1,-1.25,0.0,97,Powell
16,4,4,True,0000001000101111,482.40967,2,-1.65,-1.65,670,Powell
16,4,4,True,1111111111110110,393.966566,3,-1.97,-1.97,1462,Powell
16,4,4,True,1111001000001001,462.905124,4,-1.57,-1.57,1021,Powell
16,4,4,True,0000110001001001,112.808798,5,-3.11,-3.11,1286,Powell
16,4,4,False,0000000000000000,0.768015,1,0.0,0.0,6,CG
16,4,4,False,1111111101101111,29.637256,2,-1.77,-0.37,341,CG
16,4,4,False,0000000110111100,40.308379,3,0.69,1.97,464,CG
16,4,4,False,0001111111110000,244.077803,4,0.77,0.77,567,CG
16,4,4,True,0000110110010010,7.059915,5,0.05,0.05,26,CG
16,4,4,False,0000000000000000,0.652354,1,0.0,0.0,6,BFGS
16,4,4,False,0000000000000000,19.615804,2,0.0,3.11,231,BFGS
16,4,4,True,0111110000001111,1.410871,3,0.92,0.92,16,BFGS
16,4,4,True,0110111111110000,1.833451,4,0.91,0.91,21,BFGS
16,4,4,True,0011000010010001,2.252238,5,1.52,1.52,26,BFGS
16,4,4,False,0000000000010000,10.559805,1,-0.58,0.0,126,L-BFGS-B
16,4,4,True,0000000000000000,0.895465,2,0.0,0.0,11,L-BFGS-B
16,4,4,True,1111011111110111,1.441682,3,-1.13,-1.13,16,L-BFGS-B
16,4,4,True,0110111111110000,9.539641,4,0.91,0.91,21,L-BFGS-B
16,4,4,True,1100110011110111,2.237106,5,1.2,1.2,26,L-BFGS-B
16,4,4,False,0000000000000000,1.527741,1,0.0,0.0,6,SLSQP
16,4,4,True,0000000000000000,7.886566,2,0.0,0.0,11,SLSQP
16,4,4,True,1111011111110111,4.370023,3,-1.13,-1.13,16,SLSQP
16,4,4,True,1110010011100001,1.850817,4,1.47,1.47,21,SLSQP
16,4,4,True,1100110011110111,6.977276,5,1.2,1.2,26,SLSQP
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,5.682777,1,0.0,0.0,43,COBYLA
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,10.345648,2,0.0,0.0,85,COBYLA
64,8,8,True,1111111011111111111111111111111111111111111111111111111111110111,24.223012,3,0.9,100000.0,159,COBYLA
64,8,8,True,0000000000000000000000000010000000000000000000000000000000000101,54.416229,4,2.81,2.81,257,COBYLA
64,8,8,True,0000000000000000000100100000000001111110111111111111111111110010,60.951069,5,8.41,8.41,263,COBYLA
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,5.97282,1,0.0,0.0,22,Powell
64,8,8,True,1111101111111111111101111111111111111111111111111111111111111111,7.636183,2,2.3,100000.0,51,Powell
64,8,8,True,1111111111111111111111111111111111111111111111111111111111111111,158.971267,3,0.0,0.0,960,Powell
64,8,8,True,1111111111111111111111111111111101111111111111111111111111011111,564.159627,4,1.17,0.72,2408,Powell
64,8,8,True,1111111111111111111111110000111100000010000000000010111111111111,529.331307,5,6.89,6.89,1209,Powell
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,1.148828,1,0.0,0.0,8,CG
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,2.220153,2,0.0,0.0,15,CG
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,2.979978,3,0.0,0.0,22,CG
64,8,8,False,0000010110101101011100001000000000000001000000000000000000010000,180.154158,4,15.31,13.42,892,CG
64,8,8,False,0010001000000010001011000010100011111110011111110111111101101010,170.525717,5,17.4,16.74,983,CG
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,1.246973,1,0.0,0.0,8,BFGS
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,2.182538,2,0.0,0.0,15,BFGS
